db_id,question,query,paraphrased_nl
concert_singer,How many singers do we have?,SELECT count(*) FROM singer,What is the total count of singers in the database?
concert_singer,What is the total number of singers?,SELECT count(*) FROM singer,What is the overall count of singers.
concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","What are the names, countries, and ages of all singers listed in ascending order by age."
concert_singer,"What are the names, countries, and ages for every singer in descending order of age?","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","What are the singer names, countries, and ages listed in a table sorted by age in descending order."
concert_singer,"What is the average, minimum, and maximum age of all singers from France?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","What are the mean, lowest, and highest ages of all singers from France?"
concert_singer,"What is the average, minimum, and maximum age for all French singers?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","What are the mean, lowest, and highest ages for all singers from France?"
concert_singer,Show the name and the release year of the song by the youngest singer.,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",What are the names of the songs and their release years by the singer who is the youngest?
concert_singer,What are the names and release years for all the songs of the youngest singer?,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",What are the song names and release years for the songs performed by the singer who is the youngest?
concert_singer,What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT country FROM singer WHERE age  >  20,What are the unique countries of origin for all singers who are older than 20 years old?
concert_singer,What are  the different countries with singers above age 20?,SELECT DISTINCT country FROM singer WHERE age  >  20,What are the unique countries of origin for singers who are older than 20 years old?
concert_singer,Show all countries and the number of singers in each country.,"SELECT country ,  count(*) FROM singer GROUP BY country",What are the countries where the singers are from and how many singers are in each of those countries?
concert_singer,How many singers are from each country?,"SELECT country ,  count(*) FROM singer GROUP BY country",What is the count of singers for each country they are from?
concert_singer,List all song names by singers above the average age.,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),What are the song names of the singers who are older than the average age of all singers?
concert_singer,What are all the song names by singers who are older than average?,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),What are the song names of all singers who have an age greater than the average age of all singers?
concert_singer,Show location and name for all stadiums with a capacity between 5000 and 10000.,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",What are the locations and names of all stadiums that have a capacity ranging from 5000 to 10000?
