db_id,prompt,ground_truth,Question,paraphrased_nl
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: How many singers do we have? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

",select count ( singer.* )  from singer,How many singers do we have?,What is the total count of singers in the database?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: What is the total number of singers? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

",select count ( singer.* )  from singer,What is the total number of singers?,What is the overall count of singers in the database?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: Show name, country, age for all singers ordered by age from the oldest to the youngest. | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select singer.Name , singer.Country , singer.Age from singer  order by singer.Age desc","Show name, country, age for all singers ordered by age from the oldest to the youngest.","What are the names, countries of origin, and ages of all singers listed in ascending order by age."
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: What are the names, countries, and ages for every singer in descending order of age? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select singer.Name , singer.Country , singer.Age from singer  order by singer.Age desc","What are the names, countries, and ages for every singer in descending order of age?","What are the singer's names, countries, and ages listed in a sequence from oldest to youngest?"
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: What is the average, minimum, and maximum age of all singers from France? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select avg ( singer.Age )  , min ( singer.Age )  , max ( singer.Age )  from singer  where  singer.Country = ""France""","What is the average, minimum, and maximum age of all singers from France?","What are the mean, lowest, and highest ages of all singers from France?"
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: What is the average, minimum, and maximum age for all French singers? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select avg ( singer.Age )  , min ( singer.Age )  , max ( singer.Age )  from singer  where  singer.Country = ""France""","What is the average, minimum, and maximum age for all French singers?","What are the mean, lowest, and highest ages of all singers from France?"
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: Show the name and the release year of the song by the youngest singer. | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select singer.Song_Name , singer.Song_release_year from singer  order by singer.Age asc limit 1",Show the name and the release year of the song by the youngest singer.,What are the names of the songs and their release years by the singer who is the youngest among all the singers?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: What are the names and release years for all the songs of the youngest singer? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select singer.Song_Name , singer.Song_release_year from singer  order by singer.Age asc limit 1",What are the names and release years for all the songs of the youngest singer?,What are the song names and release years for the songs performed by the singer who is the youngest among all the singers?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: What are all distinct countries where singers above age 20 are from? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

",select  distinct singer.Country from singer  where  singer.Age > 20,What are all distinct countries where singers above age 20 are from?,What are the unique countries of origin for all singers who are older than 20 years?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: What are  the different countries with singers above age 20? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

",select  distinct singer.Country from singer  where  singer.Age > 20,What are  the different countries with singers above age 20?,What are the unique countries of origin for singers who are older than 20 years?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: Show all countries and the number of singers in each country. | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select singer.Country , count ( singer.* )  from singer  group by singer.Country",Show all countries and the number of singers in each country.,"What are the countries where the singers are from, along with the total count of singers in each country?"
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: How many singers are from each country? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select singer.Country , count ( singer.* )  from singer  group by singer.Country",How many singers are from each country?,What is the count of singers for each country?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: List all song names by singers above the average age. | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

",select singer.Song_Name from singer  where  @.@ > avg ( singer.Age ),List all song names by singers above the average age.,What are the song names performed by singers who are older than the average age of all singers?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: What are all the song names by singers who are older than average? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

",select singer.Song_Name from singer  where  @.@ > avg ( singer.Age ),What are all the song names by singers who are older than average?,What are the song titles performed by artists whose ages exceed the average age of all artists?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: Show location and name for all stadiums with a capacity between 5000 and 10000. | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select stadium.Location , stadium.Name from stadium  where  stadium.Capacity between 5000 and 10000",Show location and name for all stadiums with a capacity between 5000 and 10000.,What are the locations and names of the stadiums that have a capacity ranging from 5000 to 10000?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: What are the locations and names of all stations with capacity between 5000 and 10000? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select stadium.Location , stadium.Name from stadium  where  stadium.Capacity between 5000 and 10000",What are the locations and names of all stations with capacity between 5000 and 10000?,What are the locations and names of all stadiums with capacities ranging from 5000 to 10000?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: What is the maximum capacity and the average of all stadiums ? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select max ( stadium.Capacity )  ,  stadium.average  from stadium",What is the maximum capacity and the average of all stadiums ?,What are the highest and lowest capacities of all stadiums?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: What is the average and maximum capacities for all stadiums ? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select avg ( stadium.Capacity )  , max ( stadium.Capacity )  from stadium",What is the average and maximum capacities for all stadiums ?,What are the mean and highest capacities for all stadiums across the board?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: What is the name and capacity for the stadium with highest average attendance? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select stadium.Name , stadium.Capacity from stadium  order by stadium.Average desc limit 1",What is the name and capacity for the stadium with highest average attendance?,What are the name and capacity of the stadium with the highest average attendance recorded?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: What is the name and capacity for the stadium with the highest average attendance? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select stadium.Name , stadium.Capacity from stadium  order by stadium.Average desc limit 1",What is the name and capacity for the stadium with the highest average attendance?,What are the name and capacity of the stadium with the highest average attendance recorded?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: How many concerts are there in year 2014 or 2015? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

",select count ( concert.* )  from concert  where  concert.Year = 2014  or  concert.Year = 2015,How many concerts are there in year 2014 or 2015?,What is the total count of concerts that took place in either 2014 or 2015?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: How many concerts occurred in 2014 or 2015? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

",select count ( concert.* )  from concert  where  concert.Year = 2014  or  concert.Year = 2015,How many concerts occurred in 2014 or 2015?,What is the total count of concerts that took place in either 2014 or 2015?
