db_id,original_nl,paraphrased_nl,gt_nl,generated_sql,matched,attempts
concert_singer,How many singers do we have?,What is the total count of singers in the database?,SELECT count(*) FROM singer,SELECT COUNT(*) AS total_singers FROM singer;,True,1.0
concert_singer,What is the total number of singers?,What is the overall count of singers in the database?,SELECT count(*) FROM singer,SELECT COUNT(*) AS overall_count FROM singer;,True,1.0
concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","What are the names, countries of origin, and ages of all singers listed in ascending order by age.","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name , country , age FROM singer ORDER BY age ASC",True,1.0
concert_singer,"What are the names, countries, and ages for every singer in descending order of age?","What are the singer's names, countries, and ages listed in a sequence from oldest to youngest?","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name , country , age FROM singer ORDER BY age DESC",True,1.0
concert_singer,"What is the average, minimum, and maximum age of all singers from France?","What are the mean, lowest, and highest ages of all singers from France?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT avg(age) AS mean_age, min(age) AS lowest_age, max(age) AS highest_age FROM singer WHERE country = 'France';",True,1.0
concert_singer,"What is the average, minimum, and maximum age for all French singers?","What are the mean, lowest, and highest ages of all singers from France?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT avg(age) AS mean_age, min(age) AS lowest_age, max(age) AS highest_age FROM singer WHERE country = 'France';",True,1.0
concert_singer,Show the name and the release year of the song by the youngest singer.,What are the names of the songs and their release years by the singer who is the youngest among all the singers?,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT song_name , song_release_year FROM singer WHERE age = (SELECT min(age) FROM singer)",True,1.0
concert_singer,What are the names and release years for all the songs of the youngest singer?,What are the song names and release years for the songs performed by the singer who is the youngest among all the singers?,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT song_name , song_release_year FROM singer WHERE age = (SELECT MIN(age) FROM singer)",True,2.0
concert_singer,What are all distinct countries where singers above age 20 are from?,What are the unique countries of origin for all singers who are older than 20 years?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singer WHERE age > 20;,True,1.0
concert_singer,What are  the different countries with singers above age 20?,What are the unique countries of origin for singers who are older than 20 years?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singer WHERE age > 20;,True,1.0
concert_singer,Show all countries and the number of singers in each country.,"What are the countries where the singers are from, along with the total count of singers in each country?","SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country , COUNT(*) FROM singer GROUP BY country",True,1.0
concert_singer,How many singers are from each country?,What is the count of singers for each country?,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country , COUNT(*) FROM singer GROUP BY country;",True,1.0
concert_singer,List all song names by singers above the average age.,What are the song names performed by singers who are older than the average age of all singers?,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT song_name FROM singer WHERE age > (SELECT AVG(age) FROM singer);,True,1.0
concert_singer,What are all the song names by singers who are older than average?,What are the song titles performed by artists whose ages exceed the average age of all artists?,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT song_name FROM singer WHERE age > (SELECT avg(age) FROM singer);,True,1.0
concert_singer,Show location and name for all stadiums with a capacity between 5000 and 10000.,What are the locations and names of the stadiums that have a capacity ranging from 5000 to 10000?,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location , name FROM stadium WHERE capacity BETWEEN 5000 AND 10000;",True,1.0
concert_singer,What are the locations and names of all stations with capacity between 5000 and 10000?,What are the locations and names of all stadiums with capacities ranging from 5000 to 10000?,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location , name FROM stadium WHERE capacity BETWEEN 5000 AND 10000;",True,1.0
concert_singer,What is the maximum capacity and the average of all stadiums ?,What are the highest and lowest capacities of all stadiums?,"SELECT avg(capacity) ,  max(capacity) FROM stadium","SELECT MAX(capacity) AS highest, MIN(capacity) AS lowest FROM stadium;",False,-1.0
concert_singer,What is the average and maximum capacities for all stadiums ?,What are the mean and highest capacities for all stadiums across the board?,"SELECT avg(capacity) ,  max(capacity) FROM stadium","SELECT avg(capacity) , max(capacity) FROM stadium ;",True,1.0
concert_singer,What is the name and capacity for the stadium with highest average attendance?,What are the name and capacity of the stadium with the highest average attendance recorded?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT name , capacity FROM stadium ORDER BY average DESC LIMIT 1",True,1.0
concert_singer,What is the name and capacity for the stadium with the highest average attendance?,What are the name and capacity of the stadium with the highest average attendance recorded?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT name , capacity FROM stadium ORDER BY average DESC LIMIT 1",True,1.0
concert_singer,How many concerts are there in year 2014 or 2015?,What is the total count of concerts that took place in either 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,SELECT COUNT(*) FROM concert WHERE year = 2014 OR year = 2015;,True,1.0
concert_singer,How many concerts occurred in 2014 or 2015?,What is the total count of concerts that took place in either 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,SELECT COUNT(*) FROM concert WHERE year = 2014 OR year = 2015;,True,1.0
concert_singer,Show the stadium name and the number of concerts in each stadium.,What are the names of the stadiums and how many concerts have taken place in each one?,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT stadium.name, COUNT(concert.concert_id) AS concert_count FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.name;",True,1.0
concert_singer,"For each stadium, how many concerts play there?",What is the count of concerts held at each stadium?,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT stadium.name AS stadium_name, COUNT(concert.concert_id) AS concert_count FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.name ORDER BY concert_count DESC;",True,1.0
concert_singer,Show the stadium name and capacity with most number of concerts in year 2014 or after.,What are the names and capacities of the stadiums that hosted the most concerts in the year 2014 or later?,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1","SELECT s.name, s.capacity FROM stadium s JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.year >= 2014 GROUP BY s.stadium_id ORDER BY COUNT(c.concert_id) DESC LIMIT 1;",True,1.0
concert_singer,What is the name and capacity of the stadium with the most concerts after 2013 ?,What are the name and capacity of the stadiums that hosted the most concerts after the year 2013?,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1","SELECT s.name, s.capacity FROM stadium s JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.year > 2013 GROUP BY s.stadium_id ORDER BY COUNT(c.concert_id) DESC LIMIT 1;",True,1.0
concert_singer,Which year has most number of concerts?,What year had the highest number of concerts held?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,SELECT year FROM concert GROUP BY year ORDER BY COUNT(*) DESC LIMIT 1;,True,1.0
concert_singer,What is the year that had the most concerts?,Which year saw the highest number of concerts?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,SELECT year FROM concert GROUP BY year ORDER BY COUNT(*) DESC LIMIT 1;,True,1.0
concert_singer,Show the stadium names without any concert.,What concert venues do not host any performances?,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert);,True,1.0
concert_singer,What are the names of the stadiums without any concerts?,What are the names of the stadiums that have not hosted any concerts?,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),True,1.0
concert_singer,Show countries where a singer above age 40 and a singer below 30 are from.,What countries are represented by singers who are older than 40 and also by singers who are younger than 30.,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,SELECT country FROM singer WHERE age > 40 INTERSECT SELECT country FROM singer WHERE age < 30,True,1.0
concert_singer,Show names for all stadiums except for stadiums having a concert in year 2014.,What are the names of the stadiums that did not host a concert in the year 2014?,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014),True,1.0
concert_singer,What are the names of all stadiums that did not have a concert in 2014?,What are the names of the stadiums that did not host any concerts in the year 2014?,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT name FROM stadium WHERE stadium_id NOT IN ( SELECT stadium_id FROM concert WHERE year = 2014 ),True,1.0
concert_singer,Show the name and theme for all concerts and the number of singers in each concert.,"What are the concert names and themes, along with the count of singers participating in each concert?","SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id","SELECT c.concert_name, c.theme, COUNT(sic.singer_id) AS singer_count FROM concert c JOIN singer_in_concert sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id;",True,1.0
concert_singer,"What are the names , themes , and number of singers for every concert ?","What are the concert names , themes , and the count of distinct singers for each concert .","SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id","SELECT concert_name , theme , COUNT(DISTINCT singer_id) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_id = T2.concert_id GROUP BY T1.concert_id;",True,1.0
concert_singer,List singer names and number of concerts for each singer.,"What is the count of concerts for each singer, along with the name of the singer?","SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT singer.name, COUNT(singer_in_concert.concert_id) AS concert_count FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id GROUP BY singer.name;",True,1.0
concert_singer,What are the names of the singers and number of concerts for each person?,What are the names of the singers and the count of concerts they have performed at for each individual singer?,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT s.name, COUNT(sic.concert_id) AS concert_count FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id GROUP BY s.singer_id;",True,1.0
concert_singer,List all singer names in concerts in year 2014.,What are the names of the singers who performed in concerts that took place in the year 2014?,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT s.name FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id JOIN concert c ON sic.concert_id = c.concert_id WHERE c.year = 2014;,True,1.0
concert_singer,What are the names of the singers who performed in a concert in 2014?,What are the names of the singers who gave a performance at a concert that took place in the year 2014?,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT s.name FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id JOIN concert c ON sic.concert_id = c.concert_id WHERE c.year = 2014;,True,1.0
concert_singer,what is the name and nation of the singer who have a song having 'Hey' in its name?,What are the names and countries of the singers who have a song with the word 'Hey' in its title?,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT name, country FROM singer WHERE song_name LIKE '%Hey%'",True,1.0
concert_singer,What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,What are the names and countries of origin of all singers who have a song with the word 'Hey' in its title?,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT name, country FROM singer WHERE singer_id IN ( SELECT singer_id FROM singer_in_concert WHERE concert_id IN ( SELECT concert_id FROM concert WHERE concert_name LIKE '%Hey%') )",False,-1.0
concert_singer,Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,What are the names and locations of the stadiums where at least one concert took place in both 2014 and 2015?,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT DISTINCT s.name, s.location FROM stadium s JOIN concert c1 ON s.stadium_id = c1.stadium_id AND c1.year = 2014 JOIN concert c2 ON s.stadium_id = c2.stadium_id AND c2.year = 2015;",True,1.0
